FECHA;CARRIER_ORIGEN;RUTA_ORIGEN;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-05;GRUPO P Y D S A;1700019-ENT;16,76;1423;58;368,18;6,35
2026-06-05;MO & PC COLLECTIONS ARGENTINA;2290322-ENT;84,27;1358;734;443,25;0,6
2026-06-05;AZCOM SRL;492508-ENT;89,68;1321;878;1771,5;2,02
2026-06-05;IMPRUNETA S.A;1587493-ENT;11,72;1249;99;20,47;0,21
2026-06-05;SOLUCIONES DE CONTACTO SA;737629-ENT;66,08;1243;561;398,15;0,71
2026-06-05;MO & PC COLLECTIONS ARGENTINA;2123938-ENT;82,14;1208;584;183,15;0,31
2026-06-05;IPLAN DIGITALK;DARWIN_DK-ENT;54,49;1136;97;12,92;0,13
2026-06-05;IS LATAM INTELLIGENT SOLUTIONS SA;2629848-Px8-ENT;79,86;1115;587;227,88;0,39
2026-06-05;IPLAN INTERNATIONAL BUSINESS INC.;13088160-BTS-ENT;0;1041;0;0;0
2026-06-05;CONSUMAS S.A;2791044-Px8-ENT;87,07;1026;741;184,13;0,25
2026-06-05;CEIBO CREDITOS S.A.;13091624-PX8-ENT;73,68;977;280;444,73;1,59
2026-06-05;PAKTAR S R L;2186921-ENT;39,61;934;122;103,17;0,85
2026-06-05;CONVERGIA INC.;396103-ENT;0;927;0;0;0
2026-06-05;CANOA IMPACTO GLOBAL S.A.;2854164-PX8-ENT;89,35;890;520;308,33;0,59
2026-06-05;TOUCHED BPO;1933775-ENT;85,9;879;323;157,47;0,49
2026-06-05;BELGACOM INTERNATIONAL CARRIER SERVICE S.A.;2002322-ENT;70,98;820;203;110,37;0,54
2026-06-05;TELEPROM ARGENTINA S.A.;1832757-ENT;68,14;819;216;263,38;1,22
2026-06-05;TECNO VOZ NOROESTE S.A.;13100051_Px8-ENT;99,44;746;715;2667,43;3,73
2026-06-05;AGINET S.A.;492511-ENT;64,53;738;342;269,32;0,79
2026-06-05;CLIENTING GROUP S A;1932473-ENT;75,25;728;298;460,8;1,55
2026-06-05;COLLINS SA;13096884-CC-ENT;45,27;724;153;5,57;0,04
2026-06-05;TELECOM ARGENTINA S.A.;POI-SANTAFE-SIP-ENT;70,98;718;313;816,88;2,61
2026-06-05;DESOL S A;1513661-ENT;88,77;685;324;738,18;2,28
2026-06-05;TECNOLOGIA Y TELECOMUNICACIONES IP S.R.L;2496034-Px8-ENT;80,36;665;360;288,25;0,8
2026-06-05;SWISS MEDICAL S.A.;SWISS-PRE8-ENT;93,99;655;469;1394,03;2,97
2026-06-05;MARTINEZ MAXIMILIANO ALBERTO;1958744-ENT;46,33;638;183;68,1;0,37
2026-06-05;TELECOM ARGENTINA S.A.;POI-SALTA-SIP-ENT;90,14;613;265;554,17;2,09
2026-06-05;OLUM SRL;1972310-ENT;86,72;557;346;240,42;0,69
2026-06-05;GLOBALTECH TELECOMUNICACIONES;2035853-ENT;90,88;472;289;471,78;1,63
2026-06-05;TELECOM ARGENTINA S.A.;POI-PARANA-SIP-ENT;46,64;450;201;690,42;3,43
2026-06-05;ALLEVA CLAUDIO HECTOR;1505281-ENT;75,32;442;238;455,35;1,91
2026-06-05;IPLAN INTERNATIONAL BUSINESS INC.;2258260-AVOXI-ENT;93,73;434;329;572,07;1,74
2026-06-05;TEVECOMPRAS 2001 SRL;2773828-ENT;84,57;423;296;538,65;1,82
2026-06-05;I-FULL SRL;1877667-ENT;83,12;390;261;389,15;1,49
2026-06-05;PRAGA GGB S.R.L.;1797965-ENT;88,75;368;276;136,1;0,49
2026-06-05;NSS S.A.;Voipack-genesys-in;93,41;356;255;403,17;1,58
2026-06-05;GM TELECOM CORPORATION;620947-ENT;0;352;0;0;0
