FECHA;CARRIER_DESTINO;RUTA_DESTINO;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-07;CALL AND CONTACT CENTER S.R.L.;CALL-DID-SAL;0;27;0;0;0
2026-06-07;PRO ACTION SERVICES S.A.;PROACTION-DID-SAL;100;26;3;1,05;0,35
2026-06-07;SOLUCIONES REGIONALES DE INFORMATICA SA;SOL-DID-SAL;15,38;26;4;13,9;3,48
2026-06-07;NSS S.A.;286120-VIABAIX-SAL;100;25;25;154,68;6,19
2026-06-07;NSS S.A.;89303-CLIROMAGO-SAL;100;24;18;37,25;2,07
2026-06-07;COMUNICACION Y OPINION;2812272-COMYOP-SAL;0;24;0;0;0
2026-06-07;TEVECOMPRAS 2001 SRL;2773828-SAL;100;23;23;6,8;0,3
2026-06-07;ETERNET S.R.L.;1415993-SAL;95,45;22;21;31,08;1,48
2026-06-07;MARCELO H. PENA SA;733901-SAL;0;21;0;0;0
2026-06-07;STRATTON ARGENTINA S.A.;1926549-GENESYS-SAL;100;21;21;30,48;1,45
2026-06-07;IBR ARGENTINA S.A.;1610921-SAL;95,24;21;20;3,9;0,2
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;IPCOM-800-SAL;100;20;20;6,15;0,31
2026-06-07;MO & PC COLLECTIONS ARGENTINA;2827126-DID-SAL;0;20;0;0;0
2026-06-07;NSS S.A.;104603-OSPLAD-SAL;100;19;18;72,03;4
2026-06-07;NSS S.A.;94476-ANDAR-SAL;100;18;12;33,07;2,76
2026-06-07;TELETEL S. A.;490030-SAL;100;17;14;38,95;2,78
2026-06-07;NSS S.A.;38880-YMKSA-SAL;88,89;17;8;32,67;4,08
2026-06-07;NSS S.A.;69626-ARGENTUR-SAL;100;17;12;32,12;2,68
2026-06-07;NSS S.A.;228694-CASINO-SAL;100;17;13;35,9;2,76
2026-06-07;LINEAS LIDELSU SRL;2208360-SAL;0;16;0;0;0
2026-06-07;LATINFON CONTACT CENTER S.R.L.;2549392-SAL;100;16;8;6,48;0,81
2026-06-07;DARCOM S.A.;318373-SAL;56,25;16;9;73,32;8,15
2026-06-07;PREVI SRL;1773829-SAL;100;16;16;24,92;1,56
2026-06-07;STRATTON ARGENTINA S.A.;708115-SAL;33,33;15;5;6,32;1,26
2026-06-07;NUBICOM S.R.L.;1950424-SAL;100;15;15;89,37;5,96
2026-06-07;TELEPROM ARGENTINA S.A.;1702596-SAL;100;14;14;1,97;0,14
2026-06-07;NSS S.A.;1654031-REINO-SAL;100;14;4;4,17;1,04
2026-06-07;ESTUDIO PALMERO DE BELIZAN Y ASOC.;2858082-PX8-SAL;0;14;0;0;0
2026-06-07;ORBITH S.A;TELEP-ORBITH-SAL;100;14;13;72,18;5,55
2026-06-07;NSS S.A.;256813-INSTITUTO-SAL;100;13;13;5,57;0,43
2026-06-07;ON LINE ASSISTANCE SA;13045865-PX8-SAL;0;13;0;0;0
2026-06-07;NSS S.A.;23165-AMERICA-SAL;100;13;11;31,13;2,83
2026-06-07;COOPERATIVA DE VIVIENDA CREDITO Y CONSUMO CREDIKOT;13080500-SAL;100;13;12;3;0,25
2026-06-07;NSS S.A.;348001-FIDEICOM-SAL;100;12;11;15,92;1,45
